Station ID,Value,DateTime,Rainfall (mm),Quality Code
4854009, 18.00,20220104 0800, 0.0, 1
4854009, 18.00,20220104 0900, 0.0, 1
4854009, 18.00,20220104 1000, 0.0, 1
4854009, 18.00,20220104 1100, 0.0, 1
4854009, 18.00,20220104 1200, 0.0, 1
4854009, 18.00,20220104 1300, 0.0, 1
4854009, 18.00,20220104 1400, 0.0, 1
4854009, 18.00,20220104 1500, 0.0, 1
4854009, 18.00,20220104 1600, 0.0, 1
4854009, 18.00,20220104 1700, 0.0, 1
4854009, 18.00,20220104 1800, 0.0, 1
4854009, 18.00,20220104 1900, 0.0, 1
4854009, 18.00,20220104 2000, 0.0, 1
4854009, 18.00,20220104 2100, 0.0, 1
4854009, 18.00,20220104 2200, 0.0, 1
4854009, 18.00,20220104 2300, 0.0, 1
4854009, 18.00,20220105 0000, 0.0, 1
4854009, 18.00,20220105 0100, 0.0, 1
4854009, 18.00,20220105 0200, 0.0, 1
4854009, 18.00,20220105 0300, 0.0, 1
4854009, 18.00,20220105 0400, 0.0, 1
4854009, 18.00,20220105 0500, 0.0, 1
4854009, 18.00,20220105 0600, 0.0, 1
4854009, 18.00,20220105 0700, 0.0, 1
4854009, 18.00,20220105 0800, 0.0, 1
4854009, 18.00,20220105 0900, 0.0, 1
4854009, 18.00,20220105 1000, 0.0, 1
4854009, 18.00,20220105 1100, 0.0, 1
4854009, 18.00,20220105 1200, 0.0, 1
4854009, 18.00,20220105 1300, 0.0, 1
4854009, 18.00,20220105 1400, 0.0, 1
4854009, 18.00,20220105 1500, 0.0, 1
4854009, 18.00,20220105 1600, 0.0, 1
4854009, 18.00,20220105 1700, 0.0, 1
4854009, 18.00,20220105 1800, 0.0, 1
4854009, 18.00,20220105 1900, 0.0, 1
4854009, 18.00,20220105 2000, 0.0, 1
4854009, 18.00,20220105 2100, 0.0, 1
4854009, 18.00,20220105 2200, 0.0, 1
4854009, 18.00,20220105 2300, 0.0, 1
4854009, 18.00,20220106 0000, 0.0, 1
4854009, 18.00,20220106 0100, 0.0, 1
4854009, 18.00,20220106 0200, 0.0, 1
4854009, 18.00,20220106 0300, 0.0, 1
4854009, 18.00,20220106 0400, 0.0, 1
4854009, 18.00,20220106 0500, 0.0, 1
4854009, 18.00,20220106 0600, 0.0, 1
4854009, 18.00,20220106 0700, 0.0, 1
4854009, 18.00,20220106 0800, 0.0, 1
4854009, 18.00,20220106 0900, 0.0, 1
4854009, 18.00,20220106 1000, 0.0, 1
4854009, 18.00,20220106 1100, 0.0, 1
4854009, 18.00,20220106 1200, 0.0, 1
4854009, 18.00,20220106 1300, 0.0, 1
4854009, 18.00,20220106 1400, 0.0, 1
4854009, 18.00,20220106 1500, 0.0, 1
4854009, 18.00,20220106 1600, 0.0, 1
4854009, 18.00,20220106 1700, 0.0, 1
